act_s,count,act
"Under Sec. 146 R/w.196 M.V. Act",1,25947
"Under Sec. 166 A of the IMV Act 1989",26,25950
"Under Sec. 166 of IMV Act",2,25951
"UNDER SEC. 166 OF THE MOTOR VEHICLES ACT, 1989.",267,24651
"Under Sec. 177 and 177 of MV Act",2,25953
"Under Sec. 177 and 190(2) MV Act",1,25954
"Under Sec. 181 and 177 M.V. Act",2,25958
"Under Sec. 181 and 190(2) MV Act",1,25959
"Under Sec. 184 IMV Act",1,25960
"Under Sec. 185 and 3(1) R/w. 181 MV Act",7,25961
"Under Sec. 196 and 177 MV Act",6,25963
"Under Sec. 196 MV Act",2,25962
"Under Sec. 279, 338, 304-A and 187, 3 R/w 181 MV Act",1,25983
"Under Sec. 3 R/w. 181 MV Act",6,25989
"Under Sec. 66 R/w. 192 of IMV act",1,26022
"Under Sec.163 A of the Motor Vehicles Act 1989",4,26054
"Under Sec.163A of Motor Vehicles Act",26,26055
"Under Sec.166 of M.V. Act 1988 R/w MV Amendment Act 1994",16348,26057
"Under Sec.166 of M.V. Act 1988",773,26056
"Under Sec.166 of M.V.Act",1091,26058
"Under Sec.166 of Motor Vehicles Act",11,26059
"UNDER SEC.166 OF MOTOR VEHICLES ACT, 1989",16,24660
"UNDER SEC.166 OF THE MOTOR VEHICLES ACT, 1989",16,24661
"under Sec.66 r/w 192 IMV ACT",12,29482
"Under Section  Indian Motor Vehicle Act",1,26088
"Under Section 109 IMV Act.",1,26132
"Under Section 11(1)(A),11(1)(D) of Prevention of Cruelty to Animals Act and U/S  192 of MVAct",1,26138
"Under section 134 (A & B), 187 of Indian motor vehicles Act 1988 and section 279, 304 of IPC 1860.",1,27082
"Under Section 163 (A) of Motor Vehicles Act",6,26310
"Under Section 163.A of M.V.ACT 1989",31,26311
"UNDER SECTION 163.A OF M.V.ACT",4,24754
"Under Section 163A of MV Act",61,26312
"UNDER SECTION 166  1 OF MOTOR VEHICLE ACT 1988",138,24755
"Under Section 166 1 C of MV Amended Act 1988",11,26314
"Under section 166 M.V Act",364,27093
"UNDER SECTION 166 OF IMV ACT 1989",15,24757
"Under section 166 of M.V. Act 1988",58,27094
"Under Section 166 of M.V. Act",338,26315
"UNDER SECTION 166 OF M.V. ACT",38,24758
"UNDER SECTION 166 OF M.V.ACT",361,24759
"Under Section 166 of M.V.Act",55,26316
"UNDER SECTION 166 OF M.V.ACT. 1989",63,24760
"UNDER SECTION 166 OF MOTOR VEHICLE ACT 1988",1623,24761
"Under Section 166 of Motor Vehicles Act 1989",10,26319
"under section 166 of MOTOR VEHICLES ACT",100,29727
"UNDER SECTION 166 OF MOTOR VEHICLES ACT",32,24762
"Under Section 166 of Motor Vehicles Act",93,26318
"UNDER SECTION 166 OF MOTOR VEHICLES ACT.",3,24763
"UNDER SECTION 166 OF MV ACT",419,24764
"UNDER SECTION 166 OF MVA 1989",7810,24765
"Under Section 166 of the IMV Act",83,26320
"Under Section 166 read with section 140 of Motor Vehicles Act 1989",33,26321
"Under Section 170 of M.V. Act",8,26322
"UNDER SECTION 177 182 OF IMV ACT",1,24767
"Under section 177 IMV Act",113,27095
"Under Section 177 IMV Act",4,26325
"Under section 180 IMV Act",30,27097
"Under section 181 IMV Act",158,27098
"Under section 184 IMV Act",23,27099
"Under Section 185 181 IMV Act",57,26337
"UNDER SECTION 185 3 R/W 181 OF IMV ACT",16,24770
"Under section 185 IMV Act",2233,27101
"UNDER SECTION 185 IMV ACT",368,24771
"under section 185 IMV",3,29735
"UNDER SECTION 185 OF IMV ACT",66,24772
"Under Section 185 of IMV Act",94,26339
"Under Section 187 of Indian M. V. Act 1988",2,26340
"Under section 192 A IMV Act",100,27103
"Under section 192 IMV Act",20,27104
"Under Section 192 M.V. Act",1,26349
"Under Section 192(A),177 IMV Act",2,26351
"Under section 196 IMV Act",19,27105
"Under section 279 304 A IPC RW 187 IMV Act",3,27124
"UNDER SECTION 279 337 338 304 A AND 134 A AND B R/W 187 IMV ACT",2,24824
"Under section 279 337 338 and Sec.183 of IMV Act",5,27127
"Under Section 279 337 IPC Rw 187 IMV Act",1,26441
"UNDER SECTION 279 337 R/W 187 AND 181 OF IMV ACT",3,24825
"UNDER SECTION 279 338  READ WITH 187 AND 3 READ WITH 181 AND 146 READ WITH 196 IMV ACT",24,24826
"Under Section 279 338 IPC And 141 Rw186 of IMV act",1,26442
"Under Section 279,304 A R/W 3,181,196 of IMV Act",3,26443
"Under Section 279,304(A) r/w 134 A and B of IMV Act",13,26444
"Under Section 279,337 Motor Vehicles Act 1988 U/s 134  B,14 1301 IPC 1860 U/s 338",5,26445
"Under Section 279,337 Of Indian Motor Vehicle Act 1860",198,26446
"Under Section 279,337 R/W 186 IMV Act",1,26447
"Under section 279,337,338 IPC Red With 134 B IMV Act",4,27129
"Under Section 279,338 R/w 187 IMV Act",28,26448
"Under Section 3 R/W 181,177 IMV Act",2,26458
"Under Section 3 R/w. 181 M.V. Act",5,26459
"Under Section 3(1),4(1) and 12(1)(a) of Karnataka Motor Vehicle Tax Act 1957",3,26469
"Under Section 66 R/W 192(A)  MV Act 1988",38,26576
"Under Section IMV Act",15,26674
"Under Sections 106, 190(2) and 177 MV Act",1,26685
"Under Sections 181, 190(2) and 177 M.V. Act",2,26694
"Under Sections 279, 337 IPC and 187 M.V. Act",2,26701
"Under Sections 279, 337 of I.P.C and 196, 3 R/w. 181 M. V. Act.",1,26702
"Under Sections 279, 337, 304(A) and 196 MV Act",1,26703
"Under Sections 279, 337, 338 IPC and 187 MV Act",5,26704
"Under Sections 279, 337, 338, 304(A) IPC  and R/w. 3, 181  and 196 of M.V. Act.",1,26707
"Under Sections 279, 337, 427 IPC and 3 R/w. 181 M.V. Act",1,26710
"Under Sections 279, 338 of I.P.C. and 196 of M.V. Act",2,26712
